"","ชื่อโรงเรียน","จังหวัด","lat","lon","school_size","math","sci","eng","math.sd","sci.sd","eng.sd"
"59","ฤทธิยะวรรณาลัย","กรุงเทพมหานคร",13.91334,100.62544,"XL",32.484076433121,32.2171974522293,35.1273885350318,19.8764146716466,12.960689719024,13.8589684998604
"60","ลาดปลาเค้าพิทยาคม","กรุงเทพมหานคร",13.8466350994,100.60342133,"L",22.9310344827586,27.3465517241379,25.926724137931,14.5030088456753,11.2454858860374,13.1800960233878
"61","วชิรธรรมสาธิต","กรุงเทพมหานคร",13.6916159,100.6336006,"XL",24.7443181818182,27.6761363636364,29.6448863636364,11.6278486358224,8.9329300944956,10.3927003553741
"62","วัดนวลนรดิศ","กรุงเทพมหานคร",13.723569,100.466953,"XL",32.5,31.3542553191489,32.7956989247312,20.9229954626587,12.5356666630379,14.1893707460633
"63","วัดบวรนิเวศ","กรุงเทพมหานคร",13.75909,100.50191,"M",20,23.57,21.125,10,6.66596662991281,7.13096728673217
"64","วัดบวรมงคล","กรุงเทพมหานคร",13.7762856126,100.494364542,"M",16.5789473684211,24.6026315789474,23.1578947368421,7.91493517537632,5.82653112171219,8.46119020978029
"65","วัดประดู่ในทรงธรรม","กรุงเทพมหานคร",13.725486,100.470881,"M",19.6590909090909,26.2431818181818,22.3863636363636,11.2412784856235,6.91692705398357,6.13476009190917
"66","วัดพุทธบูชา","กรุงเทพมหานคร",13.651091,100.474553,"L",21.6923076923077,27.8661538461538,25.6923076923077,11.3374008773548,8.01744244840345,9.56839781671133
"67","วัดราชบพิธ","กรุงเทพมหานคร",13.744507,100.494966,"L",30.4901960784314,30.4911764705882,30.5147058823529,18.2689600678524,10.0145479472733,11.435078898362
"68","วัดราชโอรส","กรุงเทพมหานคร",13.7025540103,100.463377151,"XL",31.325,33.2195,31.2,19.8779578194217,11.5172222709464,11.5181565058359
"69","วัดราชาธิวาส","กรุงเทพมหานคร",13.77,100.5,"L",16.25,22.0475,25.2840909090909,5.04444531850912,4.17966490094727,11.3384867803218
"70","วัดสระเกศ","กรุงเทพมหานคร",13.7530894078,100.508970022,"S",13.75,22.7875,24.0625,5.20416499866533,1.81032915975705,5.98391942347711
"71","วัดสุทธิวราราม","กรุงเทพมหานคร",13.712427,100.5118136,"XL",28.6965811965812,30.4495689655172,33.5897435897436,21.4571502897251,12.7126306511856,14.3459587281659
"72","วัดอินทาราม","กรุงเทพมหานคร",13.7227251798,100.483011603,"L",17.1590909090909,25.3920454545455,23.0397727272727,5.2160003469565,6.1392555338179,6.9434893341311
"73","ศรีพฤฒา","กรุงเทพมหานคร",13.74429856,100.6953102,"XL",16.9117647058824,25.3735294117647,23.6029411764706,6.51509969717817,6.40264191794386,7.51113255770827
